date,time,workshop_id,description,id,name
2023-08-01,09:00:00.000000,101,"Introduction to Neuroscience",S001,"Neuro Basics"
2023-08-02,14:30:00.000000,102,"Advances in Biochemistry",S002,"Biochem Frontiers"
2023-08-03,11:45:00.000000,103,"Genetics and You",S003,"Genomic Insights"
2023-08-04,10:15:00.000000,101,"Immunology Workshop",S004,ImmunoTech
2023-08-05,16:00:00.000000,104,"Molecular Biology Lecture",S005,"MolBio Overview"
2023-08-06,13:00:00.000000,102,"Workshop on Pharmacology",S006,PharmaConnect
2023-08-07,09:30:00.000000,103,"Microbiology Fundamentals",S007,"Micro World"
2023-08-08,11:00:00.000000,101,"Biotechnology Innovations",S008,"BioTech Trends"
2023-08-09,10:45:00.000000,104,"Bioinformatics Basics",S009,BioInfo101
2023-08-10,15:30:00.000000,103,"Workshop on Genetics",S010,GenoLab
